"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","normalized_z"
0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.271804476,0.681807025,0.978129618,0.936185474,1,0.3515547,0.575398684,0.988476919,0.583333333,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.049630128,0,0,0.984774765,0,0.147303287,0.207090561,0.995536198,0.416666667,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.068498375,0,0,0.986124654,0,0,0,1,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.089923052,0,0,0.983707902,0,0,0,1,0,0
0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.188575518,0.19136643,0.255322418,0.778267753,1,0.091543513,0.151408656,0.955430794,0.583333333,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087787434,0,0,0.817622822,0,0,0,0.999994892,0,0
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.204638913,0.876456332,0.082515685,0.982962775,1,0.465639121,0.048958479,0.994555381,0.583333333,0
1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.248354611,0.986420214,0.790861479,0.851122452,1,0.533006258,0.466622503,0.978227661,0.583333333,0
1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.08778084,0.306819064,0.275274804,0.988387009,1,0.14937916,0.163224967,0.9953843,0.583333333,0
0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.156321615,0.294158867,0.55949563,0.993620378,1,0.142938922,0.331043633,0.997366128,0.583333333,0
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.217637387,0,0,0.986777423,0,0,0,1,0,0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.334472773,0,0,0.863499233,0,0.181477552,0.153105855,0.99996864,0.416666667,0
